Title;Author;Languaje;Image;Tags;Genres;Year;Rating;ListName
Regression Is Too Much;준호킴;Korean;https://cdn.novelupdates.com/images/2023/09/Regression-Is-Too-Much.png;Beautiful Female Lead, Character Growth, Cheats, Conditional Power, Cunning Protagonist, Demi-Humans, Determined Protagonist, Dungeons, Fairies, Fantasy World, First-time Interc**rse, Game Elements, Gods, Kidnappings, Level System, Magic, Male Protagonist, Manipulative Characters, Misunderstandings, Modern Day, Mystery Solving, Obsessive Love, Parody, Quirky Characters, Romantic Subplot, Saving the World, Slow Growth at Start, Slow Romance, Special Abilities, Stoic Characters, Strong Love Interests, Strong to Stronger, Sword Wielder, Time Loop, Weak to Strong;Action, Adventure, Comedy, Fantasy, Romance;2023;4.2/5.0;Edit Lists
Reincarnated • The Hero Marries the Sage ~After Becoming Engaged to a Former Rival, We Became the Strongest Couple~;Fujiki Washiro;Japanese;https://cdn.novelupdates.com/images/2023/02/Reincarnated-The-Hero-Marries-the-Sage-After-Becoming-Engaged-to-a-Former-Rival-We-Became-the-Strongest-Couple.jpg;Academy, Adapted to Manga, Beautiful Female Lead, Cheats, Doting Parents, Easy Going Life, Elemental Magic, Elves, Empires, Enemies Become Allies, Enemies Become Lovers, Famous Parents, Famous Protagonist, Fated Lovers, Love Interest Falls in Love First, Magic, Magic Formations, Magical Technology, Male Protagonist, Marriage, Marriage of Convenience, Multiple Reincarnated Individuals, Overpowered Protagonist, Past Plays a Big Role, Power Couple, Previous Life Talent, Protagonist Strong from the Start, Reincarnation, Rivalry, Smart Couple, Strong Love Interests, Strong to Stronger, Sword And Magic, Sword Wielder;Action, Adventure, Comedy, Fantasy, Romance, School Life;2022;4.2/5.0;Edit Lists
Seducing the Student Council President;Lemon Mint;Korean;https://cdn.novelupdates.com/images/2022/12/Seducing-the-Student-Council-President.jpg;Academy, Age Regression, Apocalypse, Beautiful Female Lead, Determined Protagonist, Game Elements, Hard-Working Protagonist, Male Protagonist, Mob Protagonist, Modern Day, Nobles, Past Plays a Big Role, Strong Love Interests, Sword And Magic, Transported into a Game World;Action, Fantasy, Romance;2022;4.3/5.0;Edit Lists
Taming Her Highness the Princess;사육실장;Korean;https://cdn.novelupdates.com/images/2023/07/Taming-Her-Highness-the-Princess.png;Apocalypse, Artifacts, Beautiful Female Lead, Clever Protagonist, Demons, Dense Protagonist, Depictions of Cruelty, Determined Protagonist, European Ambience, Evil Religions, Fantasy Creatures, Fantasy World, Male Protagonist, Multiple POV, Nobles, Royalty, Schemes And Conspiracies, Second Chance, Special Abilities, Student-Teacher Relationship, Teachers, Tsundere, Wizards;Action, Fantasy, Harem, Romance;2023;3.9/5.0;Edit Lists
The Academy Heroines Remember My Death;대학원노예지망생;Korean;https://cdn.novelupdates.com/images/2023/01/The-Academy-Heroines-Remember-My-Death.jpg;Ability Steal, Academy, Chuunibyou, Hunters, Level System, Magic, Male Protagonist, Monsters, Overpowered Protagonist, Time Travel;Action, Fantasy, Harem;2022;3.7/5.0;Edit Lists
The Banished Villainess’ Husband;Komori Kiri;Japanese;https://cdn.novelupdates.com/images/2019/12/cover-20191210-obi-none-1-e1574151968370.jpg;Adapted to Manga, Aristocracy, Beautiful Female Lead, Business Management, Clever Protagonist, Fallen Nobility, Forced Living Arrangements, Forced Marriage, Heartwarming, Male Protagonist, Nobles, Protagonist Falls in Love First, R-15, Reincarnated in a Game World, Reincarnated in Another World, Reincarnation, Villainess Noble Girls;Fantasy, Romance, Shoujo;2019;3.5/5.0;Edit Lists
The Daily Love Life Of The Immoral God And His Invisible Wife;390;Chinese;https://cdn.novelupdates.com/images/2023/05/The-Daily-Love-Life-Of-The-Immoral-God-And-His-Invisible-Wife.jpg;Angels, Aristocracy, Arrogant Characters, Battle Academy, Battle Competition, Beautiful Female Lead, Butlers, Calm Protagonist, Carefree Protagonist, Cheats, Clingy Lover, Clumsy Love Interests, Comedic Undertone, Demons, Devoted Love Interests, Early Romance, Famous Parents, Fox Spirits, God-human Relationship, God Protagonist, Godly Powers, Handsome Male Lead, Hated Protagonist, Hiding True Identity, Immortals, Lack of Common Sense, Lazy Protagonist, Level System, Magic, Magic Beasts, Male Protagonist, Monsters, Multiple Realms, Nobles, Overpowered Protagonist, Protagonist Strong from the Start, Quirky Characters, Shameless Protagonist, Sibling Rivalry, Sword And Magic, Tragic Past, Wars;Adventure, Comedy, Fantasy, Romance, Slice of Life, Supernatural;2022;4.0/5.0;Edit Lists
The Extra Saved the Terminally Ill Princess and Ran Away;Egg Muncher;Korean;https://cdn.novelupdates.com/images/2023/06/The-Extra-Saved-the-Terminally-Ill-Princess-and-Ran-Away.png;Academy, Death of Loved Ones, Demon Lord, Disabilities, European Ambience, First-time Interc**rse, Gods, Kind Love Interests, Male Protagonist, Misunderstandings, Mob Protagonist, Protagonist Falls in Love First, Second Chance, Servants, Stoic Characters, Transmigration, Weak to Strong;Action, Fantasy, Romance, School Life, Tragedy;2022;4.1/5.0;Edit Lists
The Former Hero and The Former Demon King Tried Couple Streaming in The Dungeon;九条蓮;Japanese;https://cdn.novelupdates.com/images/2023/09/The-Former-Hero-and-The-Former-Demon-King-Tried-Couple-Streaming-in-The-Dungeon.png;Beautiful Female Lead, Demon Lord, Dungeons, Early Romance, Enemies Become Lovers, Fantasy Creatures, Fantasy World, Former Hero, Livestreaming, Male Protagonist, Modern Day, Monsters, Overpowered Protagonist, R-15, Returning from Another World;Action, Adventure, Comedy, Fantasy, Mature, Romance, School Life, Shounen;2023;3.7/5.0;Edit Lists
The Grand Duchess Is Defeated Again Today;Habyeol;Korean;https://cdn.novelupdates.com/images/2023/04/The-Grand-Duchess-Is-Defeated-Again-Today.jpg;Arranged Marriage, Beautiful Female Lead, Calm Protagonist, Engagement, First-time Interc**rse, Love at First Sight, Magic, Male Protagonist, Marriage, Misunderstandings, Nobles, Slow Romance, Strong Love Interests, Sword And Magic, Sword Wielder, Tsundere;Fantasy, Romance;2022;3.5/5.0;Edit Lists
The Mellow and Mysterious Life of an Exiled Villainess and a Reincarnated Baron;ヒーター (Heater);Japanese;https://cdn.novelupdates.com/images/2023/08/The-Mellow-and-Mysterious-Life-of-an-Exiled-Villainess-and-a-Reincarnated-Baron_1691295117.jpg;Adapted to Manga, Aristocracy, Arranged Marriage, Beautiful Female Lead, Brainwashing, Calm Protagonist, Caring Protagonist, Character Growth, Couple Growth, Cute Story, Depression, Devoted Love Interests, Empires, European Ambience, Familial Love, Family, Fantasy Creatures, Fantasy World, Forced Marriage, Magic, Magic Beasts, Magical Technology, Male Protagonist, Mob Protagonist, Multiple POV, Nobles, Otome Game, Parent Complex, Protagonist Strong from the Start, Reincarnated in a Game World, Reincarnated in Another World, Reincarnation, Second Chance, Slow Romance, Social Outcasts, Strong Love Interests, Sword And Magic, Sword Wielder, Underestimated Protagonist, Villainess Noble Girls, Younger Love Interests;Adventure, Comedy, Drama, Fantasy, Psychological, Romance, Shoujo, Slice of Life;2019;4.1/5.0;Edit Lists
The Rankers Guide to Live an Ordinary Life;톄제;Korean;https://cdn.novelupdates.com/images/2021/06/The-Rankers-Guide-to-Live-an-Ordinary-Life_1623871371.jpg;Brother Complex, Cute Protagonist, Death of Loved Ones, Dragons, Dungeons, Famous Protagonist, Fated Lovers, Female Protagonist, Game Elements, God-human Relationship, Godly Powers, Hiding True Abilities, Hiding True Identity, Hunters, Lazy Protagonist, Lucky Protagonist, Magic, Misunderstandings, Modern Day, Multiple POV, Overpowered Protagonist, Protagonist Strong from the Start, Quirky Characters, Secret Identity, Shameless Protagonist, Siblings, Sister Complex, Slow Romance, Strong to Stronger, Younger Brothers, Younger Sisters;Action, Adventure, Comedy, Drama, Fantasy, Romance, Supernatural, Tragedy;2020;4.4/5.0;Edit Lists
Why Are You Becoming a Villain Again?;이만두;Korean;https://cdn.novelupdates.com/images/2022/12/Why-Are-You-Becoming-a-Villain-Again.jpg;Academy, Adopted Protagonist, Beautiful Female Lead, Brother Complex, Caring Protagonist, Cold Love Interests, European Ambience, First-time Interc**rse, Handsome Male Lead, Hard-Working Protagonist, Knights, Love Interest Falls in Love First, Male Protagonist, Misunderstandings, Mob Protagonist, Multiple POV, Nobles, Obsessive Love, Overprotective Siblings, Polygamy, Protagonist Strong from the Start, Reincarnated in Another World, Righteous Protagonist, Siblings, Sibling's Care, Siblings Not Related by Blood, Transmigration, Villainess Noble Girls, Yandere, Younger Love Interests, Younger Sisters;Drama, Fantasy, Harem, Romance, Slice of Life;2021;3.7/5.0;Edit Lists
Fated to Be Loved by Villains;Liteulbig;Korean;https://cdn.novelupdates.com/images/2023/12/Fated-to-Be-Loved-by-Villains.jpg;Academy, Accelerated Growth, Angels, Assassins, Beautiful Female Lead, Calm Protagonist, Charming Protagonist, Cheats, Clever Protagonist, Conditional Power, Cunning Protagonist, Demon Lord, Demons, Devoted Love Interests, Different Social Status, Evil Religions, Evolution, Fanaticism, Fearless Protagonist, First-time Interc**rse, F*llatio, Galge, Handsome Male Lead, Hidden Abilities, Immortals, Kingdoms, Knights, Level System, Love Interest Falls in Love First, Magic, Male Protagonist, Misunderstandings, Mysterious Family Background, Nobles, Obsessive Love, Politics, Polygamy, Prophecies, Psychic Powers, Psychopaths, R-18, Reincarnated in a Game World, Resurrection, Saints, Saving the World, Serial Killers, Soul Power, Special Abilities, Spirit Users, Spirits, Strategic Battles, Strong Love Interests, Sword And Magic, Sword Wielder, System Administrator, Time Manipulation, Transmigration, Transported into a Game World, Underestimated Protagonist, Unique Weapons, Unlucky Protagonist, Villainess Noble Girls, Weak Protagonist, Weak to Strong, Yandere;Action, Comedy, Fantasy, Harem, Romance;2022;4.4/5.0;To read
How To Ruin A Love Comedy;송아송아;Korean;https://cdn.novelupdates.com/images/2023/02/How-To-Ruin-A-Love-Comedy.jpg;Academy, Beautiful Female Lead, Clubs, Cold Love Interests, First-time Interc**rse, Harem-seeking Protagonist, H*ndjob, Kind Love Interests, Male Protagonist, Manipulative Characters, Mob Protagonist, Modern Day, Multiple POV, Netori, Older Love Interests, Pe*verted Protagonist, Proactive Protagonist, Protagonist Falls in Love First, R-18, Slow Romance, Threesome, Transmigration, Transported into a Game World, Tsundere, Younger Love Interests;Adult, Comedy, Ecchi, Fantasy, Harem, Mature, Romance, School Life;2022;4.2/5.0;To read
I Became The Academy’s Blind Swordsman;Dermatologist;Korean;https://cdn.novelupdates.com/images/2023/02/I-Became-The-Academys-Blind-Swordsman.jpg;Academy, Aggressive Characters, Anti-Magic, Beautiful Female Lead, Calm Protagonist, Charismatic Protagonist, Cold Love Interests, Dense Protagonist, Devoted Love Interests, Game Elements, Handsome Male Lead, Level System, Love Interest Falls in Love First, Male Protagonist, Master-Disciple Relationship, Misunderstandings, Multiple POV, Obsessive Love, Polygamy, Possessive Characters, Sword And Magic, Sword Wielder, Time Loop, Transmigration, Transported into a Game World, Voyeurism, Weak to Strong, Yandere;Action, Adventure, Fantasy, Harem, Romance, School Life;2022;3.7/5.0;To read
I Became the Childhood Friend of the Northern Duchess;밤이오는잠;Korean;https://cdn.novelupdates.com/images/2023/01/I-Became-the-Childhood-Friend-of-the-Northern-Duchess.jpg;Age Progression, Aristocracy, Beautiful Female Lead, Calm Protagonist, Childhood Friends, Clever Protagonist, Doting Love Interests, Fantasy World, Handsome Male Lead, Heartwarming, Love Interest Falls in Love First, Male Protagonist, Nobles, Reincarnated in Another World, Reincarnation, Strong Love Interests, Time Skip, Tsundere;Action, Drama, Fantasy, Romance, Slice of Life;2022;3.7/5.0;To read
